bvid,title,part,page,cid,typename,author,play,like,coin,favorite,share,danmaku,reply
BV1Fz4y1f7Wc,【360° VR】用比光速更快的速度逃离太阳系,HDR,1,243145864,科学科普,おとめめめめめ,5547930,362269,146889,270041,97909,57843,7131
BV1DD4y1R71L,《蛊》,蛊(终),1,243140467,原创音乐,翠花不太脆,9348061,556640,337696,252033,71106,12040,16332
BV11T4y1c74B,冲,冲,1,243590463,搞笑,小潮院长,13451124,765834,401386,131824,11809,29403,5541
BV1jT4y1w7En,【动画】闰土与猹的世纪之战，引发了课本宇宙的时空错乱,【最终,1,244656811,同人·手书,王不病,4363580,477313,364227,197396,41088,11359,4861
BV1JZ4y157R1,使命怎么又在召唤,使命又召唤1001,1,240826074,鬼畜剧场,-星辰菌-,20947152,1316499,1028024,578007,216578,126860,6514
BV1Tk4y1C76H,一线游戏从业者，背刺《原神》，黑红路，能走多远？,一线游戏从业者，背刺《原神》，黑红路，能走多远？,1,243228576,社科·法律·心理,韩立_生命山CEO,1870369,190300,238144,75360,32521,54045,34862
BV1RV41117ii,刻在DNA里的那些动漫台词跟场面，你知道多少？,故事有点长,1,243075270,MAD·AMV,-影子a,6050204,445986,343221,286989,19941,34753,5940
BV1554y1k7DN,【原神】外 乡 人,正片Ver.3.0HD,1,257168364,手机游戏,不死な千咲,9887087,511710,383725,236782,75451,39653,8773
BV1554y1k7DN,【原神】外 乡 人,职员表HD(原版片头 弃用),2,257182884,手机游戏,不死な千咲,9887087,511710,383725,236782,75451,39653,8773
BV1FT4y1w75Z,【原神】阴间成就攻略，后期无法完成！3分钟8个隐藏成就合集攻略指南 【持续更新】,阴间成就指南1,1,244222204,手机游戏,流萤Zz,3969829,180583,75420,157454,25593,6441,3417
BV1FT4y1w75Z,【原神】阴间成就攻略，后期无法完成！3分钟8个隐藏成就合集攻略指南 【持续更新】,神奇4 风神宠儿 超长滑翔 至矢不渝 黄金体验镇魂曲,2,244762432,手机游戏,流萤Zz,3969829,180583,75420,157454,25593,6441,3417
BV1tV41127CQ,3个诀窍让你全天不困，沾床就睡 | R90高效睡眠法，失眠人士必看,睡眠 成片,1,244000018,社科·法律·心理,若灵心理,2070613,126706,78996,130041,23821,6704,3352
BV18D4y1R7XU,【全程高能】UP被骗子盯上，反手就骗了骗子一块钱！,【全程高能】UP被骗子盯上，反手就骗了骗子一块钱！,1,242590493,搞笑,慕容晋辉,6853932,574448,202740,115216,91513,30339,9209
BV1Z5411j7e7,爷 很 萌,花少北动物派对字幕版2,1,244506537,单机游戏,花少北丶,10110802,472668,232031,107929,63299,36021,11396
BV1hv411C7jk,这是个音乐游戏？？,英雄联盟,1,238436439,鬼畜调教,哦呼w,13808014,1392769,1349746,489749,107897,20262,7874
BV1wK411A7pY,一条活鱼三斤半，搓出鱼丸不足...,鱼丸,1,243937184,美食制作,绵羊料理,6529826,430408,239761,46003,10313,9994,3712
BV1Py4y1r7FL,一百万的已婚牌子还能这么玩,【汉化】Plaque Beat 9-21-v2,1,243821551,演奏,音乐制作人Kurt,3614119,405491,262960,73050,12556,7548,4205
BV1Qp4y1a7VJ,你管这叫只踩一点点？ 我一拳打飞一幕幕的回忆散在月光,周杰伦+-+周大侠,1,243064413,MAD·AMV,战场ヶ原-,2017657,147321,115294,81005,6663,3272,1337
BV1BA411J7FP,每天一遍，防止早恋！,颜神混剪0008,1,320520598,影视剪辑,bili_42448991,21782208,1066587,573772,455517,56209,38743,7768
BV1tZ4y1L7SK,【芜林外传】经典折磨,经典折磨完整版,1,244192710,鬼畜剧场,桥北小书生,4383187,268291,183672,83171,60562,3602,2188
BV1ga4y1L7of,骁话一下：东北复兴，出路不在歌声里,骁话一下：东北复兴，出路不在歌声里,1,244091485,社科·法律·心理,观察者网,2997607,206991,110919,45531,30594,40220,15885
BV1pV41127wk,知道什么叫神仙撩裙摆吗? Julien Fournié了解一下,Julien Fournié秀场剪辑,1,244128587,时尚潮流,会唱跳Rap的胖虎,3965580,298279,100609,226186,40124,6216,2097
BV1Kk4y1C7zA,史上最骚解说：在CCTV5看倚天屠龙记是什么体验？（二）,有字幕完成版,1,243102303,搞笑,Super也好君,4242860,263871,168098,46820,40081,11660,2760
BV14f4y1B72G,BLACKPINK最新回归曲Lovesick Girls练习室+打歌舞台合集(更至201028一位),练习室,1,243698303,明星舞蹈,pcyxjy,2057099,63510,12056,44396,17646,11559,3215
BV14f4y1B72G,BLACKPINK最新回归曲Lovesick Girls练习室+打歌舞台合集(更至201028一位),201010 Pretty Savage+Lovesick Girls,2,247139265,明星舞蹈,pcyxjy,2057099,63510,12056,44396,17646,11559,3215
BV14f4y1B72G,BLACKPINK最新回归曲Lovesick Girls练习室+打歌舞台合集(更至201028一位),Lovesick Girls直拍,3,244253426,明星舞蹈,pcyxjy,2057099,63510,12056,44396,17646,11559,3215
BV1Xa411w7HU,被忽视的设计：中文字体 - oooooohmygosh,可发稿字体设计渲染成片,1,244913041,野生技能协会,oooooohmygosh,1631140,197049,160471,97100,15894,3556,2364
BV1yp4y1a7VG,跨次元无缝衔接！看完之后世界都惊呆了！,跨次元无缝衔接！看完之后世界都惊呆了！,1,237701214,MAD·AMV,伍六_七,8493994,747860,750457,407141,40570,12538,6732
BV1Vy4y1C7gj,一只小黄狗从小到大的样子,一只小黄狗从小到大的样子,1,243289047,动物二创,龙馍馍,4777293,362068,65797,60824,19842,7564,8266
BV18p4y1Y7ZF,这动画主角是个屁【阅片无数动漫篇12】,这动画主角是个屁【阅片无数动漫篇12】,1,244018594,动漫杂谈,凉风Kaze,3868525,351476,111899,26531,4273,29685,3940
BV1At4y1i7Xw,【声优搞事】派蒙：香菱不可以！（填词翻唱~),【多多&小N】派蒙：香菱不可以！,1,244844530,配音,多多poi丶,6446425,386816,235332,171210,50828,5777,4194
BV1x54y1k7vy,没有剧情？一口气看完王者荣耀世界观！,长安篇,1,242343596,电子竞技,阿狸波波233,2501669,142169,99246,107097,13580,21531,3294
BV1x54y1k7vy,没有剧情？一口气看完王者荣耀世界观！,尧天篇,2,242349432,电子竞技,阿狸波波233,2501669,142169,99246,107097,13580,21531,3294
BV1x54y1k7vy,没有剧情？一口气看完王者荣耀世界观！,神界篇上,3,242353761,电子竞技,阿狸波波233,2501669,142169,99246,107097,13580,21531,3294
BV1Bf4y1B75c,【苏星河】iPhone改变了世界，而它改变了iPhone,iPhone改变了世界，它改变了iPhone,1,244627708,软件应用,苏星河牛通,2286507,145593,125985,92251,39753,6901,4609
BV1Yi4y1j7Us,《明日方舟》EP - 秋绪,《明日方舟》EP-秋绪_BiliBili,1,244204317,原创音乐,明日方舟,5581066,263007,153543,149640,46882,7090,11046
BV1Af4y1Q7gS,Pay to Win！网游和手游如何榨干你的钱包？游戏氪金的演变与探讨。,游戏pay to win,1,242966751,网络游戏,智能路障,1153809,118918,130775,39307,11676,32320,8009
BV14y4y1k71x,张伟辩护，死刑起步,【罗翔&爱情公寓】死刑？这是律师的智慧啦_x264,1,238184821,鬼畜调教,红豆稀饭中,29744045,1828011,821260,597603,146823,29689,6439
BV1qV41127fM,这动画也太搞笑了！2020十月新番吐槽大盘点（第二弹）,2020十月新番吐槽02_2_x264,1,245211001,动漫杂谈,LexBurner,4875291,405115,196243,59225,9584,18923,0
BV1Fz4y1f7Mk,【切勿模仿】渣女宝典,成品,1,243483452,配音,盖世猪猪丶,8882602,482106,146883,90371,112624,9744,2820
BV1e54y1C7de,原神风神瞳位置大全！超详细的位置视频【啊滨】,风神瞳1,1,236188241,手机游戏,疯子啊滨,13538315,578318,641800,408323,141819,37145,10331
BV1e54y1C7de,原神风神瞳位置大全！超详细的位置视频【啊滨】,风神瞳2,2,236190369,手机游戏,疯子啊滨,13538315,578318,641800,408323,141819,37145,10331
BV1e54y1C7de,原神风神瞳位置大全！超详细的位置视频【啊滨】,风神瞳3,3,236192114,手机游戏,疯子啊滨,13538315,578318,641800,408323,141819,37145,10331
BV1wk4y1y7FM,情 场 高 手,字幕字体改2,1,247368345,鬼畜调教,仙道居士,4024574,327714,158672,81622,36897,5303,2406
BV1KA41177Ap,不会真的有人买吧！这些神级手办你见过吗？,WF Vlog终稿,1,243331264,出行,张恩恩NNN,2924164,155541,85869,42333,7556,24196,10738
BV1HD4y1d7UK,这是一个逆天级的游戏彩蛋！佛祖看了想落泪！,剧院改,1,244123966,单机游戏,好运的鱼,5155688,468912,526121,150158,17924,16525,5345
BV1ut4y1i7aH,OPPO S10非官方主题曲《英雄登场-Be the Legend》,OPPOxLOL Full Version_Final,1,244795966,电子竞技,OPPO,4634425,166822,104967,72384,42349,10062,7472
BV1ET4y1c7KB,“天价彩礼”背后折射的是一群人的“枉为父母”【天降说】,序列 01_1,1,242971783,社科·法律·心理,天降呦呦,1857711,143020,106037,39359,11086,18574,12625
BV1ot4y1v78B,一个人，造出人类最强爆炸艺术！,蔡国强,1,243749525,影视杂谈,狂阿弥_,2144019,177837,144251,56968,23726,8144,2551
BV1VT4y1w7rm,“读评论”被女朋友问到送命题是什么反应,389,1,244122986,美食记录,记录生活的蛋黄派,6503729,693788,123187,30121,4368,44147,4783
BV15Z4y157ZK,如何回怼 “你都多大了，还看动画片”！,审核好帅,1,243592246,配音,可恶的逗皮酱,1666412,123011,59673,44883,8255,4444,5134
BV1HT4y1w7HX,【丰收季】一年忙忙碌碌，为的就是谷物满仓的踏实感,紫米修改版,1,244322709,田园美食,李子柒,3654586,265257,146988,25798,11552,41641,6188
BV1ua4y177Gq,"BLACKPINK新曲""Lovesick Girls""现场合集持更（更至201125 Tokopedia活动）",201125 Tokopedia活动《Lovesick Girls》,1,259706514,音乐现场,taerubykim,6543824,118001,20952,94524,38705,60598,6201
BV1ua4y177Gq,"BLACKPINK新曲""Lovesick Girls""现场合集持更（更至201125 Tokopedia活动）",新增｜一镜到底版 201011人气歌谣 《Pretty Savage》,2,258429950,音乐现场,taerubykim,6543824,118001,20952,94524,38705,60598,6201
BV1ua4y177Gq,"BLACKPINK新曲""Lovesick Girls""现场合集持更（更至201125 Tokopedia活动）",新增｜一镜到底版 201018人气歌谣 《Lovesick Girls》,3,258430487,音乐现场,taerubykim,6543824,118001,20952,94524,38705,60598,6201
