bvid,title,author,typename,cluster,play,like,coin,favorite,share,danmaku,reply
BV1Fz4y1f7Wc,【360° VR】用比光速更快的速度逃离太阳系,おとめめめめめ,科学科普,2,5547933,362269,146889,270041,97909,57843,7131
BV1DD4y1R71L,《蛊》,翠花不太脆,原创音乐,2,9348067,556640,337696,252034,71106,12040,16332
BV11T4y1c74B,冲,小潮院长,搞笑,2,13451136,765834,401386,131824,11809,29403,5541
BV1jT4y1w7En,【动画】闰土与猹的世纪之战，引发了课本宇宙的时空错乱,王不病,同人·手书,2,4363580,477313,364227,197396,41088,11359,4861
BV1JZ4y157R1,使命怎么又在召唤,-星辰菌-,鬼畜剧场,1,20947158,1316500,1028024,578005,216578,126860,6514
BV1Tk4y1C76H,一线游戏从业者，背刺《原神》，黑红路，能走多远？,韩立_生命山CEO,社科·法律·心理,2,1870369,190300,238144,75359,32521,54045,34862
BV1RV41117ii,刻在DNA里的那些动漫台词跟场面，你知道多少？,-影子a,MAD·AMV,2,6050206,445986,343221,286989,19941,34753,5940
BV1554y1k7DN,【原神】外 乡 人,不死な千咲,手机游戏,2,9887092,511710,383725,236782,75451,39653,8773
BV1554y1k7DN,【原神】外 乡 人,不死な千咲,手机游戏,2,9887092,511710,383725,236782,75451,39653,8773
BV1FT4y1w75Z,【原神】阴间成就攻略，后期无法完成！3分钟8个隐藏成就合集攻略指南 【持续更新】,流萤Zz,手机游戏,0,3969830,180583,75420,157453,25593,6441,3417
BV1FT4y1w75Z,【原神】阴间成就攻略，后期无法完成！3分钟8个隐藏成就合集攻略指南 【持续更新】,流萤Zz,手机游戏,0,3969830,180583,75420,157453,25593,6441,3417
BV1tV41127CQ,3个诀窍让你全天不困，沾床就睡 | R90高效睡眠法，失眠人士必看,若灵心理,社科·法律·心理,0,2070613,126706,78996,130041,23821,6704,3352
BV18D4y1R7XU,【全程高能】UP被骗子盯上，反手就骗了骗子一块钱！,慕容晋辉,搞笑,2,6853932,574449,202740,115216,91513,30339,9209
BV1Z5411j7e7,爷 很 萌,花少北丶,单机游戏,2,10110805,472668,232031,107929,63299,36021,11396
BV1hv411C7jk,这是个音乐游戏？？,哦呼w,鬼畜调教,1,13808021,1392769,1349746,489749,107897,20262,7874
BV1wK411A7pY,一条活鱼三斤半，搓出鱼丸不足...,绵羊料理,美食制作,0,6529826,430408,239761,46003,10313,9994,3712
BV1Py4y1r7FL,一百万的已婚牌子还能这么玩,音乐制作人Kurt,演奏,0,3614119,405491,262960,73050,12556,7548,4205
BV1Qp4y1a7VJ,你管这叫只踩一点点？ 我一拳打飞一幕幕的回忆散在月光,战场ヶ原-,MAD·AMV,0,2017657,147321,115294,81005,6663,3272,1337
BV1BA411J7FP,每天一遍，防止早恋！,bili_42448991,影视剪辑,1,21782217,1066587,573772,455517,56209,38743,7769
BV1tZ4y1L7SK,【芜林外传】经典折磨,桥北小书生,鬼畜剧场,0,4383188,268291,183672,83171,60562,3602,2188
BV1ga4y1L7of,骁话一下：东北复兴，出路不在歌声里,观察者网,社科·法律·心理,2,2997610,206991,110919,45531,30594,40220,15885
BV1pV41127wk,知道什么叫神仙撩裙摆吗? Julien Fournié了解一下,会唱跳Rap的胖虎,时尚潮流,0,3965584,298279,100609,226186,40124,6216,2097
BV1Kk4y1C7zA,史上最骚解说：在CCTV5看倚天屠龙记是什么体验？（二）,Super也好君,搞笑,0,4242860,263871,168098,46820,40081,11660,2760
BV14f4y1B72G,BLACKPINK最新回归曲Lovesick Girls练习室+打歌舞台合集(更至201028一位),pcyxjy,明星舞蹈,0,2057099,63510,12056,44396,17646,11559,3215
BV14f4y1B72G,BLACKPINK最新回归曲Lovesick Girls练习室+打歌舞台合集(更至201028一位),pcyxjy,明星舞蹈,0,2057099,63510,12056,44396,17646,11559,3215
BV14f4y1B72G,BLACKPINK最新回归曲Lovesick Girls练习室+打歌舞台合集(更至201028一位),pcyxjy,明星舞蹈,0,2057099,63510,12056,44396,17646,11559,3215
BV1Xa411w7HU,被忽视的设计：中文字体 - oooooohmygosh,oooooohmygosh,野生技能协会,0,1631142,197050,160471,97101,15894,3556,2364
BV1yp4y1a7VG,跨次元无缝衔接！看完之后世界都惊呆了！,伍六_七,MAD·AMV,2,8493995,747859,750457,407141,40570,12538,6732
BV1Vy4y1C7gj,一只小黄狗从小到大的样子,龙馍馍,动物二创,0,4777293,362068,65797,60824,19842,7564,8266
BV18p4y1Y7ZF,这动画主角是个屁【阅片无数动漫篇12】,凉风Kaze,动漫杂谈,0,3868525,351476,111899,26531,4273,29685,3940
BV1At4y1i7Xw,【声优搞事】派蒙：香菱不可以！（填词翻唱~),多多poi丶,配音,2,6446429,386816,235332,171209,50828,5777,4194
BV1x54y1k7vy,没有剧情？一口气看完王者荣耀世界观！,阿狸波波233,电子竞技,0,2501672,142170,99246,107097,13580,21531,3294
BV1x54y1k7vy,没有剧情？一口气看完王者荣耀世界观！,阿狸波波233,电子竞技,0,2501672,142170,99246,107097,13580,21531,3294
BV1x54y1k7vy,没有剧情？一口气看完王者荣耀世界观！,阿狸波波233,电子竞技,0,2501672,142170,99246,107097,13580,21531,3294
BV1Bf4y1B75c,【苏星河】iPhone改变了世界，而它改变了iPhone,苏星河牛通,软件应用,0,2286507,145593,125985,92251,39753,6901,4609
BV1Yi4y1j7Us,《明日方舟》EP - 秋绪,明日方舟,原创音乐,2,5581099,263008,153545,149641,46882,7090,11046
BV1Af4y1Q7gS,Pay to Win！网游和手游如何榨干你的钱包？游戏氪金的演变与探讨。,智能路障,网络游戏,0,1153809,118918,130775,39307,11676,32320,8009
BV14y4y1k71x,张伟辩护，死刑起步,红豆稀饭中,鬼畜调教,1,29744050,1828011,821260,597603,146823,29689,6439
BV1qV41127fM,这动画也太搞笑了！2020十月新番吐槽大盘点（第二弹）,LexBurner,动漫杂谈,0,4875291,405115,196243,59225,9584,18923,0
BV1Fz4y1f7Mk,【切勿模仿】渣女宝典,盖世猪猪丶,配音,2,8882602,482106,146883,90371,112624,9744,2820
BV1e54y1C7de,原神风神瞳位置大全！超详细的位置视频【啊滨】,疯子啊滨,手机游戏,1,13538315,578318,641800,408322,141819,37145,10331
